datetime,temp,month,year
2021-09-15,12.61,09,2021
2021-09-15,12.578,09,2021
2021-09-15,12.578,09,2021
2021-09-15,12.524,09,2021
2021-09-15,12.535,09,2021
2021-09-15,12.524,09,2021
2021-09-15,12.503,09,2021
2021-09-15,12.46,09,2021
2021-09-15,12.438,09,2021
2021-09-15,12.406,09,2021
2021-10-08,12.621,10,2021
2021-10-08,12.567,10,2021
2021-10-08,12.556,10,2021
2021-10-08,12.556,10,2021
2021-10-08,12.513,10,2021
2021-10-08,12.46,10,2021
2021-10-08,12.438,10,2021
2021-10-08,12.438,10,2021
2021-10-08,12.438,10,2021
